SAIDA LEXICO: 
Linha 1 | Lexema: program | Token: program
Linha 1 | Lexema: prog | Token: ID
Linha 1 | Lexema: 2 | Token: INTEGER_CONST
Linha 1 | Lexema: ; | Token: PCOMMA
Linha 2 | Lexema: var | Token: var
Linha 2 | Lexema: flag | Token: ID
Linha 2 | Lexema: : | Token: TWO_POINTS
Linha 2 | Lexema: boolean | Token: boolean
Linha 2 | Lexema: ; | Token: PCOMMA
Linha 3 | Lexema: var | Token: var
Linha 3 | Lexema: cont | Token: ID
Linha 3 | Lexema: : | Token: TWO_POINTS
Linha 3 | Lexema: integer | Token: integer
Linha 3 | Lexema: ; | Token: PCOMMA
Linha 4 | Lexema: begin | Token: begin
Linha 5 | Lexema: cont | Token: ID
Linha 5 | Lexema: := | Token: ATR
Linha 5 | Lexema: 0 | Token: INTEGER_CONST
Linha 5 | Lexema: ; | Token: PCOMMA
Linha 6 | Lexema: flag | Token: ID
Linha 6 | Lexema: := | Token: ATR
Linha 6 | Lexema: true | Token: true
Linha 6 | Lexema: ; | Token: PCOMMA
Linha 7 | Lexema: while | Token: while
Linha 7 | Lexema: flag | Token: ID
Linha 7 | Lexema: do | Token: do
Linha 8 | Lexema: cont | Token: ID
Linha 8 | Lexema: := | Token: ATR
Linha 8 | Lexema: cont | Token: ID
Linha 8 | Lexema: + | Token: PLUS
Linha 8 | Lexema: 1 | Token: INTEGER_CONST
Linha 8 | Lexema: ; | Token: PCOMMA
Linha 9 | Lexema: if | Token: if
Linha 9 | Lexema: cont | Token: ID
Linha 9 | Lexema: > | Token: GT
Linha 9 | Lexema: 10 | Token: INTEGER_CONST
Linha 10 | Lexema: then | Token: then
Linha 10 | Lexema: flag | Token: ID
Linha 10 | Lexema: := | Token: ATR
Linha 10 | Lexema: false | Token: false
Linha 10 | Lexema: ; | Token: PCOMMA
Linha 11 | Lexema: end | Token: end
Linha 12 | Lexema: end | Token: end
Linha 13 | Lexema: end | Token: end

TABELA DE SIMBOLOS: 

