PROGRAM	1	program
ID	1	calc
PCOMMA	1	;
VAR	2	var
ID	2	x
COMMA	2	,
ID	2	y
COMMA	2	,
ID	2	z
TWOPOINT	2	:
REAL	2	real
PCOMMA	2	;
VAR	3	var
ID	3	nome
COMMA	3	,
ID	3	endereco
TWOPOINT	3	:
STRING	3	string
PCOMMA	3	;
BEGIN	4	begin
ID	5	x
ASSIGN	5	:=
FLOAT_CONST	5	3.15
PCOMMA	5	;
ID	6	y
ASSIGN	6	:=
FLOAT_CONST	6	2.4
PCOMMA	6	;
IF	7	if
ID	7	x
THEN	8	then
ID	8	z
ASSIGN	8	:=
ID	8	x
MINUS	8	-
ID	8	y
PCOMMA	8	;
END	10	end
ID	10	nome
ASSIGN	10	:=
STRING_LITERAL	10	skdfkm23235FNFOWOF?
PCOMMA	10	;
ID	11	endereco
ASSIGN	11	:=
STRING_LITERAL	11	Rua Fulad_2 139, 234 #
PCOMMA	11	;
END	12	end
EOF	0	
